InChI	Enthalpy_of_vaporization
InChI=1S/C4HF9/c5-1(6)2(7,8)3(9,10)4(11,12)13/h1H	121.5
InChI=1S/C2Cl4F2/c3-1(4,5)2(6,7)8	152.973
InChI=1S/C2H2Cl4/c3-1-2(4,5)6/h1H2	213.539
InChI=1S/C2H2F4/c3-1-2(4,5)6/h1H2	217
InChI=1S/C3Cl3F5/c4-2(5,6)1(7,8)3(9,10)11	123.919
InChI=1S/C2H2Cl3F/c3-2(4,5)1-6/h1H2	211.87
InChI=1S/C2Cl3F3/c3-1(4,5)2(6,7)8	145.295
InChI=1S/C2Cl4F2/c3-1(4,7)2(5,6)8	154.9
InChI=1S/C2HCl4F/c3-1(4)2(5,6)7/h1H	182.762
InChI=1S/C2HCl3F2/c3-1(6)2(4,5)7/h1H	176.694
InChI=1S/C2H2Cl3F/c3-1-2(4,5)6/h1H2	207.719
InChI=1S/C2Cl3F3/c3-1(4,6)2(5,7)8	144.3
InChI=1S/C2HCl2F3/c3-2(4,7)1(5)6/h1H	163.659
InChI=1S/C2Cl2F2/c3-1(4)2(5)6	183.088
InChI=1S/C2Cl2F4/c3-1(4,5)2(6,7)8	133.618
InChI=1S/C2Br2F4/c3-1(5,6)2(4,7)8	104.7
InChI=1S/C2HCl2F3/c3-1(5)2(4,6)7/h1H	169.431
InChI=1S/C2H3Cl3/c1-2(3,4)5/h1H3	223.681
InChI=1S/C3H3F5/c4-1-3(7,8)2(5)6/h2H,1H2	201
InChI=1S/C2H2Cl4/c3-1(4)2(5)6/h1-2H	229.314
InChI=1S/C3H4F4/c1-3(6,7)2(4)5/h2H,1H3	214.4
InChI=1S/C2H2Cl3F/c3-1(4)2(5)6/h1-2H	199.987
InChI=1S/C2H2Cl2F2/c3-1(4)2(5)6/h1-2H	211.064
InChI=1S/C2H4Cl2/c1-2(3)4/h2H,1H3	291.53
InChI=1S/C2H2F2/c1-2(3)4/h1H2	255
InChI=1S/C3HCl2F5/c4-1(2(5,6)7)3(8,9)10/h1H	127.7
InChI=1S/C2H3Cl2F/c3-1-2(4)5/h2H,1H2	255.682
InChI=1S/C2Cl2F4/c3-1(5,6)2(4,7)8	135.9
InChI=1S/C2H4F2/c3-1-2-4/h1-2H2	396.291
InChI=1S/C2HClF4/c3-2(6,7)1(4)5/h1H	161.174
InChI=1S/C3HClF6/c4-2(6,7)1(5)3(8,9)10/h1H	140.9
InChI=1S/C2H2ClF3/c3-2(5,6)1-4/h1H2	193.57
InChI=1S/C2H3ClF2/c1-2(3,4)5/h1H3	223.453
InChI=1S/C2H2ClF3/c3-1(4)2(5)6/h1-2H	196.16
InChI=1S/C2H3ClF2/c3-2(5)1-4/h2H,1H2	237.99
InChI=1S/C2H4ClF/c1-2(3)4/h2H,1H3	295.504
InChI=1S/C2HCl2F3/c3-1(4)2(5,6)7/h1H	170.2
InChI=1S/C2HClF4/c3-1(4)2(5,6)7/h1H	165.8
InChI=1S/C3H4ClF3/c4-2-1-3(5,6)7/h1-2H2	201.758
InChI=1S/CBrF3/c2-1(3,4)5	118.8
InChI=1S/C4H10/c1-3-4-2/h3-4H2,1-2H3	385.8
InChI=1S/CCl4/c2-1(3,4)5	192.6
InChI=1S/CHClF2/c2-1(3)4/h1H	233.8
InChI=1S/C2H4ClF/c3-1-2-4/h1-2H2	338.323
InChI=1S/C2ClF3/c3-1(4)2(5)6	183.429
InChI=1S/CClF3/c2-1(3,4)5	149.3
InChI=1S/C4F10/c5-1(6,3(9,10)11)2(7,8)4(12,13)14	97.412
InChI=1S/CBr2F2/c2-1(3,4)5	127.034
InChI=1S/C2H2Cl2F2/c3-1(5)2(4)6/h1-2H	201.771
InChI=1S/CCl2F2/c2-1(3,4)5	166.2
InChI=1S/C4Cl2F6/c5-1(7)2(6,8)4(11,12)3(1,9)10	120.499
InChI=1S/CH2Cl2/c2-1-3/h1H2	330.8
InChI=1S/C4H10O/c1-3-5-4-2/h3-4H2,1-2H3	357.7
InChI=1S/CH2F2/c2-1-3/h1H2	381.9
InChI=1S/C2H6/c1-2/h1-2H3	489.5
InChI=1S/C2H7N/c1-2-3/h2-3H2,1H3	600.8
InChI=1S/C2H3F/c1-2-3/h2H,1H2	397.872
InChI=1S/CH3F/c1-2/h1H3	488.8
InChI=1S/C2Cl6/c3-1(4,5)2(6,7)8	206.996
InChI=1S/C3H7F/c1-2-3-4/h2-3H2,1H3	369.356
InChI=1S/C2F6/c3-1(4,5)2(6,7)8	116.2
InChI=1S/C3F6/c4-1(2(5)6)3(7,8)9	129.307
InChI=1S/C4H10/c1-4(2)3/h4H,1-3H3	366.7
InChI=1S/C2H4O2/c1-4-2-3/h2H,1H3	468.5
InChI=1S/C3H3F5O/c1-9-3(7,8)2(4,5)6/h1H3	169.7
InChI=1S/CH5N/c1-2/h2H2,1H3	834.3
InChI=1S/C4F8/c5-1(6)2(7,8)4(11,12)3(1,9)10	116.8
InChI=1S/C3F8/c4-1(5,2(6,7)8)3(9,10)11	106.5
InChI=1S/C2HCl5/c3-1(4)2(5,6)7/h1H	195.77
InChI=1S/C2HF5O/c3-1(4)8-2(5,6)7/h1H	161.2
InChI=1S/C2HF5/c3-1(4)2(5,6)7/h1H	164
InChI=1S/C5H12/c1-3-5-4-2/h3-5H2,1-2H3	357.35
InChI=1S/C3H8/c1-3-2/h3H2,1-2H3	425.4
InChI=1S/C3H6/c1-3-2/h3H,1H2,2H3	439.2
InChI=1S/CF4/c2-1(3,4)5	134.4
InChI=1S/C2HCl3/c3-1-2(4)5/h1H	240.706
InChI=1S/CHCl3/c2-1(3)4/h1H	247
InChI=1S/C3HF7O/c4-1(5)2(6,7)11-3(8,9)10/h1H	120.017
InChI=1S/C4H3F7/c1-2(5,6)3(7,8)4(9,10)11/h1H3	140.4
InChI=1S/C3H3F5/c4-1-2(5)3(6,7)8/h2H,1H2	171.654
InChI=1S/C3H2F6/c4-2(5,6)1-3(7,8)9/h1H2	160.3
InChI=1S/C2HCl3F2/c3-2(4,5)1(6)7/h1H	175.936
InChI=1S/C3HF7/c4-1(5)2(6,7)3(8,9)10/h1H	139.4
InChI=1S/C2H2F4/c3-1(4)2(5)6/h1-2H	213.593
InChI=1S/C2HCl3F2/c3-1(4)2(5,6)7/h1H	175.351
InChI=1S/C2H3Cl2F/c3-2(4)1-5/h2H,1H2	223.369
InChI=1S/C3H2F6O/c4-1(3(7,8)9)10-2(5)6/h1-2H	147.188
InChI=1S/C2H2Cl2F2/c3-1-2(4,5)6/h1H2	205.951
InChI=1S/C2H4Cl2/c3-1-2-4/h1-2H2	323.16
InChI=1S/C3HCl2F5/c4-1(6)2(7,8)3(5,9)10/h1H	135.848
InChI=1S/C3HClF6/c4-1(2(5,6)7)3(8,9)10/h1H	132.2
InChI=1S/C3HCl2F5/c4-1(5)2(6,7)3(8,9)10/h1H	134.434
InChI=1S/C3H3ClF4/c4-1-3(7,8)2(5)6/h2H,1H2	206.6
InChI=1S/CH2ClF/c2-1-3/h1H2	332.126
InChI=1S/C2ClF5/c3-1(4,5)2(6,7)8	125.4
InChI=1S/C2H4/c1-2/h1-2H2	480.6
InChI=1S/C5H12/c1-4-5(2)3/h5H,4H2,1-3H3	342.11
InChI=1S/C2H3F3O/c1-6-2(3,4)5/h1H3	204.148
InChI=1S/C2Cl5F/c3-1(4,5)2(6,7)8	161.32
InChI=1S/C4H3F7O/c1-12-4(10,11)2(5,6)3(7,8)9/h1H3	142.3
InChI=1S/CCl3F/c2-1(3,4)5	181.4
InChI=1S/CHF3/c2-1(3)4/h1H	240.7
InChI=1S/C6H14/c1-4-6(3)5-2/h6H,4-5H2,1-3H3	325.52
InChI=1S/C7H16/c1-4-6-7(3)5-2/h7H,4-6H2,1-3H3	308.29
InChI=1S/C6H12/c1-4-6(3)5-2/h4,6H,1,5H2,2-3H3	324.317
InChI=1S/C5H10/c1-4-5(2)3/h4-5H,1H2,2-3H3	347.627
InChI=1S/C9H12/c1-3-9-6-4-5-8(2)7-9/h4-7H,3H2,1-2H3	315.556
InChI=1S/C3H5Cl/c1-2-3-4/h2H,1,3H2	378.94
InChI=1S/C7H6Cl2/c1-5-2-3-6(8)7(9)4-5/h2-4H,1H3	270.962
InChI=1S/C3H8S/c1-3(2)4/h3-4H,1-2H3	366.37
InChI=1S/C7H16/c1-4-5-6-7(2)3/h7H,4-6H2,1-3H3	305.5
InChI=1S/C6H12/c1-4-5-6(2)3/h2,4-5H2,1,3H3	336.838
InChI=1S/C6H12O/c1-3-4-5-6(2)7/h3-5H2,1-2H3	362.85
InChI=1S/C9H12/c1-3-9-7-5-4-6-8(9)2/h4-7H,3H2,1-2H3	316.696
InChI=1S/C7H7Cl/c1-6-4-2-3-5-7(6)8/h2-5H,1H3	296.23
InChI=1S/C3H7Cl/c1-3(2)4/h3H,1-2H3	334.82
InChI=1S/C4H8O/c1-3-4(2)5/h3H2,1-2H3	434
InChI=1S/C4H10S/c1-3-4(2)5/h4-5H,3H2,1-2H3	339.1
InChI=1S/C7H16/c1-6(2)5-7(3)4/h6-7H,5H2,1-4H3	294.82
InChI=1S/C7H6Cl2/c1-5-2-3-6(8)4-7(5)9/h2-4H,1H3	310.383
InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h6H,1-5H3	284.453
InChI=1S/C8H16/c1-7(2)6-8(3,4)5/h1,6H2,2-5H3	276.06
InChI=1S/C7H16/c1-5-7(4)6(2)3/h6-7H,5H2,1-4H3	303.9
InChI=1S/C5H12/c1-5(2,3)4/h1-4H3	315.145
InChI=1S/C7H16/c1-5-6-7(2,3)4/h5-6H2,1-4H3	291.63
InChI=1S/C6H14/c1-5-6(2,3)4/h5H2,1-4H3	305.22
InChI=1S/C8H18/c1-7(2)6-8(3,4)5/h7H,6H2,1-5H3	269.47
InChI=1S/C7H16/c1-6(2)7(3,4)5/h6H,1-5H3	288.337
InChI=1S/C2H2Cl2/c1-2(3)4/h1H2	274.469
InChI=1S/C2H4Br2/c3-1-2-4/h1-2H2	190.514
InChI=1S/C3H6Cl2/c1-3(5)2-4/h3H,2H2,1H3	283.476
InChI=1S/C4H6/c1-3-4-2/h3-4H,1-2H2	415.342
InChI=1S/C5H8/c1-3-5-4-2/h3-4H,1-2,5H2	359.475
InChI=1S/C4H8/c1-3-4-2/h3H,1,4H2,2H3	393.264
InChI=1S/C4H9Cl/c1-2-3-4-5/h2-4H2,1H3	328.257
InChI=1S/C3H7Cl/c1-2-3-4/h2-3H2,1H3	346.022
InChI=1S/C7H14/c1-3-5-7-6-4-2/h3H,1,4-7H2,2H3	323.175
InChI=1S/C6H14O/c1-2-3-4-5-6-7/h7H,2-6H2,1H3	435.421
InChI=1S/C9H18O/c1-2-3-4-5-6-7-8-9-10/h9H,2-8H2,1H3	311.028
InChI=1S/C2H4O2/c1-2(3)4/h1H3,(H,3,4)	394.605
InChI=1S/C6H12O2/c1-3-4-5-8-6(2)7/h3-5H2,1-2H3	312.274
InChI=1S/C4H8O/c1-2-3-4-5/h4H,2-3H2,1H3	436.772
InChI=1S/C10H22/c1-3-5-7-9-10-8-6-4-2/h3-10H2,1-2H3	278.106
InChI=1S/C7H16/c1-3-5-7-6-4-2/h3-7H2,1-2H3	316.971
InChI=1S/C5H10O2/c1-3-4-7-5(2)6/h3-4H2,1-2H3	332.061
InChI=1S/C2HCl4F/c3-1(7)2(4,5)6/h1H	182.967
InChI=1S/C2H2Cl2F2/c3-2(4,6)1-5/h1H2	202.265
InChI=1S/C2H2Br2F2/c3-1-2(4,5)6/h1H2	140.389
InChI=1S/C3HF7/c4-1(2(5,6)7)3(8,9)10/h1H	135.9
InChI=1S/C3H2F6/c4-1(2(5)6)3(7,8)9/h1-2H	165.2
InChI=1S/C3H3F5/c4-2(5)1-3(6,7)8/h2H,1H2	196.7
InChI=1S/C2H3F3/c1-2(3,4)5/h1H3	227.1
InChI=1S/C2H3Cl3/c3-1-2(4)5/h2H,1H2	259.52
InChI=1S/C3Cl2F6/c4-2(8,9)1(6,7)3(5,10)11	117.4
InChI=1S/C2H2ClF3/c3-1-2(4,5)6/h1H2	199.536
InChI=1S/C3H2Cl2F4/c4-1(2(5)6)3(7,8)9/h1-2H	171.5
InChI=1S/C3H3Cl2F3/c4-1-2(5)3(6,7)8/h2H,1H2	177.492
InChI=1S/C2H5Cl/c1-2-3/h2H2,1H3	383.602
InChI=1S/C2H3Cl/c1-2-3/h2H,1H2	365.168
InChI=1S/CH3Cl/c1-2/h1H3	428.7
InChI=1S/CHCl2F/c2-1(3)4/h1H	239.5
InChI=1S/C2F4/c3-1(4)2(5)6	168.546
InChI=1S/C3H5F3/c4-2-1-3(5)6/h3H,1-2H2	230.893
InChI=1S/C3Cl2F6/c4-1(6,2(5,7)8)3(9,10)11	118.95
InChI=1S/C3HCl2F5/c4-1(6)2(5,7)3(8,9)10/h1H	144.8
InChI=1S/CBrClF2/c2-1(3,4)5	135.293
InChI=1S/C8H18/c1-4-6-8(3)7-5-2/h8H,4-7H2,1-3H3	291.88
InChI=1S/C5H10O/c1-3-5(6)4-2/h3-4H2,1-2H3	388.28
InChI=1S/C6H14/c1-4-5-6(2)3/h6H,4-5H2,1-3H3	322.39
InChI=1S/C5H10/c1-4-5(2)3/h4H,1-3H3	375.05
InChI=1S/C5H10/c1-4-5(2)3/h2,4H2,1,3H3	363.51
InChI=1S/C5H12O/c1-3-5(2)4-6/h5-6H,3-4H2,1-2H3	507.508
InChI=1S/C6H14/c1-5(2)6(3)4/h5-6H,1-4H3	317.633
InChI=1S/C4H6/c1-3-4-2/h4H,1H2,2H3	443.993
InChI=1S/C6H12/c1-3-5-6-4-2/h3H,1,4-6H2,2H3	340.247
InChI=1S/C2H4O/c1-2-3/h2H,1H3	584.657
InChI=1S/C3H6O/c1-3(2)4/h1-2H3	500.947
InChI=1S/C5H11NO/c1-3-6(4-2)5-7/h5H,3-4H2,1-2H3	371.622
InChI=1S/C8H18/c1-3-5-7-8-6-4-2/h3-8H2,1-2H3	301.155
